latitude,longitude,price,reviews_per_month
37.7541839478958,-122.4065137873994,49.0,0.07
37.75416620694072,-122.42153361123906,220.0,0.49
37.758505841987684,-122.40615234615572,100.0,0.27
37.75654875319113,-122.42202512272397,117.0,0.48
37.760050551626094,-122.4213524418662,200.0,0.0
37.75949487517408,-122.42487369983886,162.0,1.27
37.760996869783455,-122.41312370743404,230.0,0.35
37.75054282250833,-122.41655854238532,173.0,2.56
37.75628817825093,-122.40873765927408,600.0,0.0
37.75724641714533,-122.40931471446184,250.0,2.77
37.749329349831456,-122.41079246439556,300.0,0.83
37.75135310287518,-122.41765884005434,189.0,3.67
37.75199246297621,-122.40421045324041,130.0,4.36
37.761429332623095,-122.41935005071524,90.0,0.0
37.766520788195436,-122.42466008924092,95.0,3.11
37.759955138352105,-122.42410641814494,325.0,1.95
37.75870166523213,-122.42124003051887,119.0,3.43
37.76147948623888,-122.41571353188469,134.0,0.17
37.75939066340097,-122.42116735753423,490.0,1.2
37.749617823996026,-122.4181314197398,140.0,0.21
37.759585813647796,-122.41000109683405,185.0,1.4
37.75560550525029,-122.40671929926322,550.0,0.0
37.75052129599319,-122.40735678108759,113.0,6.22
37.76832742785572,-122.42505707071774,115.0,0.0
37.76888719167491,-122.42405987916307,155.0,0.57
37.75134305657279,-122.42265006283216,45.0,0.0
37.755069551371655,-122.41681709924057,169.0,0.53
37.762206498477674,-122.41989540417707,186.0,0.66
37.75385200146517,-122.41115766043129,77.0,0.18
37.76251893043086,-122.42428458725807,250.0,0.3
37.76531006688854,-122.42469052470317,235.0,0.46
37.763626659879094,-122.42538534156692,80.0,0.23
37.76814060434909,-122.42536756459259,300.0,0.5
37.758667648515726,-122.42387997289718,200.0,0.22
37.761482053744295,-122.40925392305105,200.0,1.6
37.75399608902932,-122.41770632143594,125.0,1.89
37.75328433021465,-122.41185789807965,40.0,0.0
37.750282609140896,-122.41561941732044,500.0,0.0
37.758131816496665,-122.41411774554672,79.0,3.0
37.75754497349558,-122.42012521957732,115.0,0.47
37.76249604814942,-122.42260295756658,575.0,0.33
37.75804240295867,-122.42110106383629,65.0,1.91
37.75788359494436,-122.40753054788263,2000.0,0.0
37.754564414774144,-122.41252638760092,51.0,0.21
37.75239754472986,-122.42448040014351,159.0,3.52
37.76911000754381,-122.41193446152616,120.0,0.05
37.768623444929254,-122.42443655528706,100.0,2.71
37.760662031470986,-122.4208267688101,50.0,0.11
37.758260176668095,-122.40833040110529,80.0,0.03
37.755961358466145,-122.40953015706768,75.0,0.1
37.75942336176793,-122.407542379533,155.0,3.17
37.759932313874714,-122.42136669190809,250.0,1.29
37.77021194835183,-122.42289864996941,55.0,7.5
37.75065685054285,-122.4234918406435,450.0,0.25
37.749449219104726,-122.4095555558233,250.0,2.68
